Student_ID,Period,Reading,Listening,Writing,Speaking
1,Q1_2024,88,74,95,71
1,Q2_2024,86,70,100,96
1,Q3_2024,62,98,61,65
2,Q1_2024,96,69,100,66
2,Q2_2024,81,69,84,99
2,Q3_2024,60,96,61,72
3,Q1_2024,77,99,73,86
3,Q2_2024,62,94,70,77
3,Q3_2024,82,88,87,88
4,Q1_2024,77,81,96,73
4,Q2_2024,72,63,68,83
4,Q3_2024,76,83,60,75
5,Q1_2024,73,83,100,64
5,Q2_2024,88,60,78,73
5,Q3_2024,72,76,71,83
6,Q1_2024,78,93,75,69
6,Q2_2024,79,100,72,60
6,Q3_2024,81,100,89,92
7,Q1_2024,75,95,99,73
7,Q2_2024,81,92,72,75
7,Q3_2024,70,62,66,100
8,Q1_2024,71,83,82,66
8,Q2_2024,91,98,83,79
8,Q3_2024,86,95,87,90
9,Q1_2024,77,98,88,72
9,Q2_2024,76,89,61,68
9,Q3_2024,88,72,70,74
10,Q1_2024,85,91,82,99
10,Q2_2024,64,100,99,98
10,Q3_2024,65,66,75,78
11,Q1_2024,96,80,65,86
11,Q2_2024,71,91,70,79
11,Q3_2024,83,84,73,63
12,Q1_2024,69,61,75,89
12,Q2_2024,69,86,63,100
12,Q3_2024,81,66,95,81
13,Q1_2024,94,87,62,74
13,Q2_2024,74,95,78,71
13,Q3_2024,73,88,70,68
14,Q1_2024,61,78,74,100
14,Q2_2024,67,92,64,75
14,Q3_2024,69,84,84,96
15,Q1_2024,60,71,92,92
15,Q2_2024,86,76,73,76
15,Q3_2024,89,61,86,63
16,Q1_2024,72,88,93,79
16,Q2_2024,68,65,78,93
16,Q3_2024,87,99,78,81
17,Q1_2024,68,91,89,98
17,Q2_2024,80,78,65,93
17,Q3_2024,100,67,90,95
18,Q1_2024,60,91,69,97
18,Q2_2024,60,93,88,60
18,Q3_2024,88,98,75,100
19,Q1_2024,95,66,66,62
19,Q2_2024,78,66,64,88
19,Q3_2024,100,70,97,81
20,Q1_2024,94,87,99,63
20,Q2_2024,77,90,83,86
20,Q3_2024,71,90,76,95
21,Q1_2024,88,81,91,82
21,Q2_2024,92,77,86,88
21,Q3_2024,83,74,83,88
22,Q1_2024,82,71,81,77
22,Q2_2024,81,68,77,90
22,Q3_2024,68,72,69,75
23,Q1_2024,90,73,73,67
23,Q2_2024,63,95,75,93
23,Q3_2024,69,77,69,84
24,Q1_2024,91,86,78,63
24,Q2_2024,96,75,100,96
24,Q3_2024,79,79,97,78
25,Q1_2024,71,90,96,85
25,Q2_2024,68,80,92,93
25,Q3_2024,93,78,87,81
26,Q1_2024,67,72,66,68
26,Q2_2024,84,69,63,62
26,Q3_2024,91,76,98,84
27,Q1_2024,86,86,96,100
27,Q2_2024,88,97,74,72
27,Q3_2024,84,83,73,85
28,Q1_2024,85,95,91,92
28,Q2_2024,81,99,98,97
28,Q3_2024,65,99,75,96
29,Q1_2024,68,94,61,78
29,Q2_2024,96,70,84,64
29,Q3_2024,83,63,92,64
30,Q1_2024,84,70,71,93
30,Q2_2024,64,98,82,98
30,Q3_2024,99,66,79,71
